PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-11-20,10:57:06.78,1,1,"Larkin, Noah",1000114574,Left,CAL_MUS,"Steels, Jacob",1000117532,Right,CAL_MUS,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.87193,-1.331718,2.840783,2081.706485,138.910627,10:45,6.14466,-2.14963,5.46568,-23.77643,16.95127,-13.55465,2.91512,-0.61819,76.13754,-5.784964,0.430047,0.459321,,,,,,,,,,,,7.62646,9.33709,1.90879,50,6.01141,-5.44822,-121.49212,-3.57642,11.32034,25.33209,-18.31455,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221120-BaggettStadium-Private-1,20f00ff0-6905-11ed-997e-bd7988e9a484,82.0612,,,7.73439,,,,,,,c9d04260-bbab-4bc3-8f91-9038186d1fec,2022-11-20,18:57:06.78,2022-11-20T10:57:06.7839818-08:00,2022-11-20T18:57:06.7839818Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,05aee7ef-54f4-49c9-8529-23e76337e634,55.03168,-122.53677,12.66604,6.14332,-2.82116,-9.15727,2.14309,-5.91505,5.66017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-11-20,10:57:19.85,1,2,"Larkin, Noah",1000114574,Left,CAL_MUS,"Steels, Jacob",1000117532,Right,CAL_MUS,Undefined,1,Top,0,0,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.56386,-0.327344,4.634036,1688.360504,116.366396,10:00,5.90879,-2.27655,5.56672,-35.52435,10.61201,-18.33391,2.64162,0.53411,71.75193,-6.885856,1.37485,0.48887,,,,,,,,,,,,10.53379,5.92343,1.88823,50,5.8573,-8.49736,-113.71631,-1.77394,13.77307,21.1386,-24.42907,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221120-BaggettStadium-Private-1,28c02f30-6905-11ed-997e-bd7988e9a484,77.10121,,,6.81193,,,,,,,c9d04260-bbab-4bc3-8f91-9038186d1fec,2022-11-20,18:57:19.85,2022-11-20T10:57:19.8545738-08:00,2022-11-20T18:57:19.8545738Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,e776ba51-81cd-4c2b-88e9-c66df5837d37,54.93282,-114.6296,10.5693,5.91115,-0.71849,-12.21454,2.26821,-9.09242,6.88654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-11-20,10:57:34.75,1,3,"Larkin, Noah",1000114574,Left,CAL_MUS,"Steels, Jacob",1000117532,Right,CAL_MUS,Undefined,1,Top,0,0,2,ChangeUp,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,78.25609,-0.52975,3.00534,1779.034196,105.369401,9:30,5.79694,-2.49758,5.4814,-39.74864,6.56339,-18.5945,1.98819,-1.23254,71.96208,-7.810714,-0.306912,0.489799,,,,,,,,,,,,10.15693,3.91685,2.24651,50,5.72351,-5.22991,-113.52802,-2.35303,13.28302,20.38533,-27.05169,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221120-BaggettStadium-Private-1,319f4d70-6905-11ed-997e-bd7988e9a484,76.95484,,,6.29402,,,,,,,c9d04260-bbab-4bc3-8f91-9038186d1fec,2022-11-20,18:57:34.75,2022-11-20T10:57:34.7530000-08:00,2022-11-20T18:57:34.7530000Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,fbb4841a-7622-4f7e-96c4-8adc732265e1,55.01928,-114.42575,10.19267,5.8009,-1.16173,-13.52585,2.4897,-5.81487,6.64151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.27333,2.87896,1.844122,1.034839,-0.72405,1.68847,1.24649,-1.46345,4.70196,1.97767,71.97478,8.58671,-52.82869,-1.39933,75.5038,-4.41701,4.80989,17.95056,-13.77099,1.69289,-62.02356,8.90256,High,High,High,,,High,High,High
4,2022-11-20,10:58:04.86,2,1,"Larkin, Noah",1000114574,Left,CAL_MUS,"Stafford, Ryan",1000070790,Right,CAL_MUS,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,76.88134,2.302767,1.069114,2332.412415,185.142406,12:15,5.99883,-2.46209,4.92744,-41.37758,7.50843,0.54327,4.72915,-1.40602,70.50003,-5.231903,1.164805,0.503227,,,,,,,,,,,,0.01508,3.57201,2.35748,50,6.18917,-2.10255,-111.46197,3.04955,0.01906,19.07901,-27.65746,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221120-BaggettStadium-Private-1,43987010-6905-11ed-997e-bd7988e9a484,74.9015,,,6.38131,,,,,,,c9d04260-bbab-4bc3-8f91-9038186d1fec,2022-11-20,18:58:04.86,2022-11-20T10:58:04.8623946-08:00,2022-11-20T18:58:04.8623946Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,91b52047-654a-43ca-aaa9-66155568ed4b,55.57087,-112.4115,9.5395,6.00315,4.42601,-13.82873,2.46214,-2.1035,0.00953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-11-20,10:58:20.05,2,2,"Larkin, Noah",1000114574,Left,CAL_MUS,"Stafford, Ryan",1000070790,Right,CAL_MUS,Undefined,1,Top,1,1,0,Cutter,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,77.96081,-1.58945,3.337268,2304.096109,166.357335,11:30,6.09625,-2.22044,4.88687,-37.10478,10.61627,-2.21929,1.49756,0.7554,71.94553,-8.303691,2.946915,0.497194,81.91774,-8.228917,-77.005341,,,,,14.77906,7.98137,-62.179929,0.108478,2.00347,6.07363,1.89467,50,5.90886,-6.4968,-112.93507,-4.42071,2.59719,19.84618,-24.30052,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221120-BaggettStadium-Private-1,4cac59f0-6905-11ed-997e-bd7988e9a484,75.81025,1.86856,,6.01528,,,,3.99198,1.86856,-0.48103,c9d04260-bbab-4bc3-8f91-9038186d1fec,2022-11-20,18:58:20.05,2022-11-20T10:58:20.0538442-08:00,2022-11-20T18:58:20.0538442Z,GroundBall,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,0b152353-3671-4bbd-84bb-e2b3d1765265,55.61454,-113.91744,9.92309,6.09791,-3.21784,-12.15026,2.21944,-6.62536,1.2986,180,3.99119,26.783,,,,,,,,1.86907,-17.22531,,,,,,,,-0.47761,-116.05926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2022-11-20,10:58:40.89,2,3,"Larkin, Noah",1000114574,Left,CAL_MUS,"Stafford, Ryan",1000070790,Right,CAL_MUS,Undefined,1,Top,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.87476,1.463128,3.458986,1561.263145,94.819261,9:15,5.76455,-2.4651,5.46203,-43.58703,2.74213,-17.36615,3.5046,-0.6707,72.16509,-6.487049,0.372545,0.48989,,,,,,,,,,,,9.55154,1.45083,2.17226,50,5.86364,-6.15878,-113.04433,1.44337,12.53422,17.88172,-30.27015,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221120-BaggettStadium-Private-1,590d9a10-6905-11ed-997e-bd7988e9a484,76.94061,,,5.70968,,,,,,,c9d04260-bbab-4bc3-8f91-9038186d1fec,2022-11-20,18:58:40.89,2022-11-20T10:58:40.8953162-08:00,2022-11-20T18:58:40.8953162Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,0532185e-1c27-478f-8f97-043fcfe56454,55.04076,-113.8389,8.94086,5.76962,2.78843,-15.13507,2.4583,-6.71574,6.26711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-11-20,10:58:59.40,2,4,"Larkin, Noah",1000114574,Left,CAL_MUS,"Stafford, Ryan",1000070790,Right,CAL_MUS,Undefined,1,Top,1,2,1,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,77.22706,-0.37234,2.528991,1434.349597,98.16841,9:15,5.85151,-2.40312,5.72251,-42.89924,4.12835,-18.70824,1.92941,-1.60495,71.20491,-8.243554,-0.821067,0.493569,,,,,,,,,,,,10.27079,2.60555,2.20377,50,5.79365,-4.27031,-112.1653,-2.06916,13.11359,19.86671,-28.84731,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221120-BaggettStadium-Private-1,641e3e50-6905-11ed-997e-bd7988e9a484,76.36714,,,6.02215,,,,,,,c9d04260-bbab-4bc3-8f91-9038186d1fec,2022-11-20,18:58:59.40,2022-11-20T10:58:59.4057034-08:00,2022-11-20T18:58:59.4057034Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,7a42a8b6-f30a-47a7-93d2-a63bc9e0b07c,54.78019,-113.00879,9.93336,5.8555,-0.84437,-14.42366,2.39689,-4.82709,6.55679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-11-20,10:59:19.03,2,5,"Larkin, Noah",1000114574,Left,CAL_MUS,"Stafford, Ryan",1000070790,Right,CAL_MUS,Undefined,1,Top,1,2,2,Slider,Curveball,InPlay,Undefined,GroundBall,Single,0,0,,70.66255,0.920087,0.917446,2656.430532,289.049002,3:45,5.99637,-2.24603,4.9465,-61.88432,-3.15378,15.05158,1.70902,-0.12466,64.55119,-10.249683,3.576949,0.551573,75.47772,6.508035,-3.924679,7318.612869,,,,86.36941,56.15139,-2.379213,0.832359,-7.23028,-1.39142,2.1436,50,6.03425,-2.19189,-102.41915,-0.35229,-7.56343,19.30993,-33.62956,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221120-BaggettStadium-Private-1,6fd92c50-6905-11ed-997e-bd7988e9a484,68.33621,4.03635,,6.11136,,,,2.41669,1.90395,0.16907,c9d04260-bbab-4bc3-8f91-9038186d1fec,2022-11-20,18:59:19.03,2022-11-20T10:59:19.0315850-08:00,2022-11-20T18:59:19.0315850Z,GroundBall,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,caa208a7-0682-449c-be72-b9c0b5ae5201,55.55562,-103.4613,9.65496,6.00428,1.46268,-16.81478,2.25088,-1.78369,-3.78171,293.572607,2.41669,109.7292,-11.86212,1.54683,-0.2939,0.01916,0.02472,-0.02034,0.0059,1.90395,12.54715,-18.96328,1.56218,-0.23207,-0.06795,0.15353,-0.10802,0.03025,0.16907,-7.52848,4.29974,-0.90876,-0.07344,0.62293,-0.8304,0.5606,-0.15584,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2022-11-20,11:00:21.83,3,1,"Larkin, Noah",1000114574,Left,CAL_MUS,"Fenn, Ryan",1000199112,Right,CAL_MUS,Undefined,1,Top,2,0,0,ChangeUp,Changeup,InPlay,Undefined,Popup,Out,1,0,,77.58896,-1.660254,2.837376,1612.325389,121.082991,10:00,5.71714,-2.41577,5.77471,-36.80951,9.60697,-13.61639,1.1024,-0.90799,71.77901,-8.428003,0.398179,0.490351,53.96631,77.975579,31.568345,,,,,,66.46118,,,7.765,5.73426,2.18984,50,5.55728,-5.09418,-112.63923,-4.3849,10.03334,19.36016,-24.76467,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221120-BaggettStadium-Private-1,95389620-6905-11ed-997e-bd7988e9a484,76.86821,64.45932,,5.80995,,,,3.42034,1.39434,0.92352,c9d04260-bbab-4bc3-8f91-9038186d1fec,2022-11-20,19:00:21.83,2022-11-20T11:00:21.8376010-08:00,2022-11-20T19:00:21.8376010Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,bc84d9ee-c070-4cf2-9bab-fb7156ab0c7d,54.72759,-113.44888,9.68008,5.71901,-3.34922,-12.38234,2.41165,-5.51378,5.01667,,3.42034,14.04919,-3.06949,0.48296,-0.06076,0.01809,-0.00781,0.00092,8E-05,1.39434,77.41417,-24.13076,2.51983,-0.66345,0.41526,-0.30834,0.13075,-0.02304,0.92353,8.63063,5.20395,-2.32135,1.62773,-2.1011,1.82146,-0.82253,0.15055,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2022-11-20,11:03:06.84,1,1,"Brooks, Steven",1000114564,Right,CAL_MUS,"Villegas, Collin",1000083288,Right,CAL_MUS,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,87.14062,-1.56607,-2.698661,2067.52904,215.311872,1:15,5.65782,2.43535,6.35015,-21.1034,15.19922,9.92359,2.45567,0.77634,79.49736,-5.574578,-0.904069,0.433651,81.25263,55.161536,-27.029164,,91.44821,114.72925,-61.13281,147.99894,91.10912,-34.351285,5.556376,-5.99949,8.74288,-2.24404,50,5.53404,5.58833,-126.51366,-4.05308,-9.6837,26.80074,-18.06227,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221120-BaggettStadium-Private-1,f78f9ad0-6905-11ed-997e-bd7988e9a484,86.91882,121.00381,,7.64327,,,,3.3039,2.76367,-0.82915,c9d04260-bbab-4bc3-8f91-9038186d1fec,2022-11-20,19:03:06.84,2022-11-20T11:03:06.8493642-08:00,2022-11-20T19:03:06.8493642Z,FlyBall,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,a024723d-99a3-4208-80f4-90cef711089b,54.15078,-127.38993,13.40037,5.6569,-3.46252,-9.03114,-2.43193,5.90495,-4.84185,170.141527,3.31104,60.50169,-21.65327,5.62317,-0.64905,-0.1046,0.05033,-0.00685,0.00033,2.75853,97.88442,-24.30247,2.25754,-0.31919,0.00966,0.01073,-0.00228,0.00014,-0.83048,-30.91235,6.40611,-1.09384,0.07802,0.01572,-0.00482,0.00048,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
