PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-11-15,15:17:24.88,1,1,"Dueck, Owen",1000132547,Left,CAL_MUS,"Steels, Jacob",1000117532,Right,CAL_MUS,Undefined,1,Top,0,0,0,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,77.48494,-2.176377,1.605003,1482.121326,144.723898,10:45,5.89987,-1.0324,5.08176,-30.01954,17.86631,-11.57064,1.34489,-0.48328,71.35626,-7.683181,-0.441809,0.498052,83.59828,42.697266,12.751408,,103.63213,82.70157,36.88322,310.08926,289.18548,29.072141,5.097026,6.23063,9.92741,0.89009,50,5.67038,-2.69244,-112.36727,-5.23704,7.99396,19.69736,-19.43712,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221115-BaggettStadium-Private-1,ab74fc80-653b-11ed-84b5-f33c4e97b9e4,75.67966,97.36834,,6.12869,,,,2.51548,1.50647,0.47114,2eb914d8-7afa-482f-a243-8435ace0c8dc,2022-11-15,23:17:24.88,2022-11-15T15:17:24.8830000-08:00,2022-11-15T23:17:24.8830000Z,FlyBall,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,5ace4be6-1963-4842-b0ee-9cd550687407,55.41874,-113.31317,9.84868,5.89946,-4.30364,-9.71856,1.0286,-3.07632,3.99698,215.71078,2.51875,87.82796,-17.81594,4.41381,-0.82879,0.14213,-0.02415,0.00301,-0.00017,1.50758,83.11226,-20.66291,1.2313,0.17892,-0.19036,0.05492,-0.00722,0.00036,0.47029,19.90563,4.71168,-1.13004,0.20635,-0.03534,0.00631,-0.00082,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2022-11-15,15:17:52.91,2,1,"Dueck, Owen",1000132547,Left,CAL_MUS,"King, Wyatt",1000133912,Right,CAL_MUS,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,85.08259,-0.763454,1.67911,2278.771629,131.617471,10:30,5.9585,-1.06371,5.36158,-25.46789,13.588,-14.00654,3.11989,-0.65586,78.42965,-5.467062,-0.810213,0.449795,,,,,,,,,,,,7.4604,7.37189,0.92316,50,5.87191,-3.02473,-123.57988,-2.51773,11.63758,22.61878,-20.67449,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221115-BaggettStadium-Private-1,bc198ba0-653b-11ed-84b5-f33c4e97b9e4,83.79913,,,6.65294,,,,,,,2eb914d8-7afa-482f-a243-8435ace0c8dc,2022-11-15,23:17:52.91,2022-11-15T15:17:52.9140000-08:00,2022-11-15T23:17:52.9140000Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,f212ee71-4c24-49f2-9d9d-495d1be3d621,55.13913,-124.51694,11.30939,5.95847,-1.66122,-10.33725,1.05845,-3.50686,5.81879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-11-15,15:18:04.10,2,2,"Dueck, Owen",1000132547,Left,CAL_MUS,"King, Wyatt",1000133912,Right,CAL_MUS,Undefined,1,Top,1,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.63779,-1.814708,3.499741,1757.745402,135.460085,10:30,5.88057,-0.93924,5.37047,-30.22616,15.6782,-14.05658,1.65649,1.17485,72.59484,-7.374781,1.005274,0.487639,,,,,,,,,,,,7.9667,8.76874,0.63541,50,5.69621,-6.42058,-113.99512,-4.57504,10.56774,19.37128,-20.54239,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221115-BaggettStadium-Private-1,c2be2330-653b-11ed-84b5-f33c4e97b9e4,77.29578,,,6.04295,,,,,,,2eb914d8-7afa-482f-a243-8435ace0c8dc,2022-11-15,23:18:04.10,2022-11-15T15:18:04.1040000-08:00,2022-11-15T23:18:04.1040000Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,12298cf3-f33e-45d3-83cf-6bb270cdcf44,55.13001,-114.86355,9.68564,5.88067,-3.65409,-10.27119,0.93387,-6.89434,5.28387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-11-15,15:18:16.42,2,3,"Dueck, Owen",1000132547,Left,CAL_MUS,"King, Wyatt",1000133912,Right,CAL_MUS,Undefined,1,Top,1,2,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.97864,-2.703458,2.464742,1553.094742,134.752484,10:30,5.82229,-1.03726,5.13073,-28.08856,16.89993,-15.59021,0.93123,-0.01374,73.5304,-7.861791,-0.294383,0.48275,,,,,,,,,,,,8.51426,9.59205,0.81872,50,5.54682,-4.35997,-115.89069,-6.40024,11.6029,21.24455,-19.10232,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221115-BaggettStadium-Private-1,ca226140-653b-11ed-84b5-f33c4e97b9e4,78.07861,,,6.44823,,,,,,,2eb914d8-7afa-482f-a243-8435ace0c8dc,2022-11-15,23:18:16.42,2022-11-15T15:18:16.4210000-08:00,2022-11-15T23:18:16.4210000Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,7f38ef63-95c3-4c7c-8951-0d40d0c7620b,55.37057,-116.87105,10.62228,5.82183,-5.51873,-9.55116,1.03227,-4.8954,5.80145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-11-15,15:18:28.47,2,4,"Dueck, Owen",1000132547,Left,CAL_MUS,"King, Wyatt",1000133912,Right,CAL_MUS,Undefined,1,Top,1,3,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,85.32931,-1.817386,2.306148,2357.509827,160.571814,11:15,5.95045,-0.99681,5.39282,-20.60407,18.51135,-6.08941,2.52821,0.65826,78.12528,-5.670753,1.224385,0.450138,59.28039,20.427192,57.206604,3861.30443,51.74796,11.11482,97.06722,139.55973,114.89213,63.492333,1.987244,3.70579,10.18898,0.79531,50,5.77392,-4.72501,-123.74113,-4.58647,5.75385,24.36761,-16.35407,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221115-BaggettStadium-Private-1,d1504d10-653b-11ed-84b5-f33c4e97b9e4,83.73537,16.3319,,7.20404,,,,1.49635,2.53407,-0.697,2eb914d8-7afa-482f-a243-8435ace0c8dc,2022-11-15,23:18:28.47,2022-11-15T15:18:28.4730000-08:00,2022-11-15T23:18:28.4730000Z,LineDrive,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,c3edd2bd-2734-4811-bbce-27bef7118b56,55.10695,-124.74275,12.18381,5.94863,-3.91423,-8.17704,0.99439,-4.96152,2.87693,245.808734,1.49634,44.13027,-9.66629,2.01867,-0.33243,-0.01458,0.03393,-0.0112,0.00141,2.53408,30.34407,-17.52562,1.07926,-0.23502,0.09313,-0.03739,0.01059,-0.00127,-0.69699,68.49129,-3.4208,0.49612,-0.09861,0.04681,-0.02376,0.00684,-0.0008,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2022-11-15,15:19:02.52,2,5,"Dueck, Owen",1000132547,Left,CAL_MUS,"King, Wyatt",1000133912,Right,CAL_MUS,Undefined,1,Top,1,3,1,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Out,1,0,,78.1877,-0.953897,2.280336,1389.821361,140.111702,10:45,5.80848,-1.09073,5.0947,-32.45687,14.72808,-11.02831,2.20398,0.14041,71.5938,-6.915948,0.330538,0.494394,104.46592,10.002203,-33.868411,2738.772617,89.12966,5.82668,-64.46628,142.53899,117.36557,-36.952958,1.070499,6.20174,8.03567,0.8845,50,5.69321,-4.07944,-113.3703,-2.954,8.06001,21.00024,-21.73056,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221115-BaggettStadium-Private-1,e5973040-653b-11ed-84b5-f33c4e97b9e4,76.23967,8.26886,,6.5939,,,,2.96537,2.16356,-0.13002,2eb914d8-7afa-482f-a243-8435ace0c8dc,2022-11-15,23:19:02.52,2022-11-15T15:19:02.5210000-08:00,2022-11-15T23:19:02.5210000Z,LineDrive,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,5ab3bffa-52c2-4025-b3b5-fd504fb04ae7,55.40631,-114.36736,10.50012,5.80897,-1.92227,-10.86528,1.08727,-4.46211,4.03001,,2.96536,125.28556,-24.28235,4.70502,-0.87743,-0.20998,0.40617,-0.23204,0.05129,2.16355,26.61309,-31.18453,5.06843,-0.57919,-0.99774,1.23111,-0.66693,0.1453,-0.13002,-84.08584,3.65974,0.08704,0.79774,-1.64035,1.64935,-0.86312,0.18617,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2022-11-15,15:19:28.38,3,1,"Dueck, Owen",1000132547,Left,CAL_MUS,"Fenn, Ryan",1000199112,Right,CAL_MUS,Undefined,1,Top,2,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,86.75796,-1.357042,1.924236,2262.730185,145.990497,10:45,5.91693,-0.80127,5.45098,-20.81493,16.98556,-10.63512,2.91094,0.11462,79.21926,-5.255626,0.03184,0.442507,84.75737,7.507323,-5.171609,1918.385331,109.97553,6.15891,-2.31742,150.09737,150.09737,0.203045,1.408129,5.92827,9.31363,0.63906,50,5.78311,-3.7736,-125.86676,-3.65888,9.49851,25.83953,-17.25134,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221115-BaggettStadium-Private-1,f4ffe400-653b-11ed-84b5-f33c4e97b9e4,85.1793,7.92009,,7.5387,,,,1.39784,2.94201,-0.11482,2eb914d8-7afa-482f-a243-8435ace0c8dc,2022-11-15,23:19:28.38,2022-11-15T15:19:28.3870000-08:00,2022-11-15T23:19:28.3870000Z,GroundBall,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,df18964d-c8e8-425d-b4bb-8f72210ef8b7,55.04917,-126.89909,12.91976,5.91552,-2.96966,-8.62567,0.7974,-4.15307,4.74926,244.725795,1.39784,122.74334,-15.33689,2.79565,-0.46591,0.06125,-0.00622,0.00057,-1E-05,2.94201,16.24155,-13.33835,0.08249,0.15234,-0.05164,0.01503,-0.0026,0.00022,-0.11482,-11.10919,11.51198,-3.21238,0.81365,-0.17972,0.03692,-0.00615,0.00055,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2022-11-15,15:20:04.61,4,1,"Dueck, Owen",1000132547,Left,CAL_MUS,"Villegas, Collin",1000083288,Right,CAL_MUS,Undefined,1,Top,2,0,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,2,0,,75.65906,-0.856862,2.480514,1469.85467,140.365063,10:45,5.89154,-1.15142,4.79978,-34.94537,16.2445,-12.01209,2.16667,0.19949,69.01412,-7.252744,0.36872,0.514948,96.31616,-7.381152,-36.27228,,,,,23.11932,15.32698,-30.384137,0.139832,6.72276,8.73571,0.91545,50,5.77649,-4.27225,-109.58148,-2.79108,8.12778,20.39756,-21.61263,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221115-BaggettStadium-Private-1,0a9f0430-653c-11ed-84b5-f33c4e97b9e4,73.19658,2.54158,,6.64494,,,,4.12633,2.54158,-0.0862,2eb914d8-7afa-482f-a243-8435ace0c8dc,2022-11-15,23:20:04.61,2022-11-15T15:20:04.6120000-08:00,2022-11-15T23:20:04.6120000Z,GroundBall,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,de395ca6-8e85-4d1c-a306-03491415ffc7,55.70058,-110.6375,10.19878,5.89203,-1.67215,-10.80631,1.14753,-4.69304,4.06389,180,4.12241,113.11903,,,,,,,,2.54221,-18.176,,,,,,,,-0.08333,-83.00996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2022-11-15,15:20:37.77,5,1,"Dueck, Owen",1000132547,Left,CAL_MUS,"Cloyd, Evan",1000131950,Right,CAL_MUS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.10331,-1.070619,2.065214,2389.12907,144.230983,10:45,5.98346,-0.64078,5.18975,-19.66859,20.87159,-13.89099,3.33644,0.14534,76.01221,-4.817297,-0.393939,0.458263,,,,,,,,,,,,7.52331,11.15634,0.45963,50,5.86993,-3.79655,-123.05703,-2.89062,11.28442,29.3881,-15.44039,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221115-BaggettStadium-Private-1,1e57b120-653c-11ed-84b5-f33c4e97b9e4,82.25075,,,9.09111,,,,,,,2eb914d8-7afa-482f-a243-8435ace0c8dc,2022-11-15,23:20:37.77,2022-11-15T15:20:37.7700000-08:00,2022-11-15T23:20:37.7700000Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,e0d421c4-f708-4c16-99dc-34f179b5359f,55.30349,-124.31715,14.69405,5.97969,-2.22856,-7.7202,0.6328,-4.2804,5.64221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-11-15,15:20:49.70,5,2,"Dueck, Owen",1000132547,Left,CAL_MUS,"Cloyd, Evan",1000131950,Right,CAL_MUS,Undefined,1,Top,0,0,1,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,75.71349,0.523363,0.466553,2338.244046,216.657773,1:15,5.97354,-0.686,4.49927,-40.69175,11.35623,7.05863,3.08126,0.34676,68.4925,-6.880079,1.701529,0.519246,63.43513,53.448099,159.048853,5225.030603,-104.14107,50.8227,35.42054,157.64759,71.06329,164.658268,3.510776,-3.29347,5.87579,0.62981,50,5.99044,-1.18876,-109.57246,-0.42545,-3.94961,21.81624,-25.12765,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221115-BaggettStadium-Private-1,257c4e20-653c-11ed-84b5-f33c4e97b9e4,72.5907,57.69064,,7.22099,,,,1.92552,3.16201,-0.34588,2eb914d8-7afa-482f-a243-8435ace0c8dc,2022-11-15,23:20:49.70,2022-11-15T15:20:49.7030000-08:00,2022-11-15T23:20:49.7030000Z,Popup,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,efb1923b-c257-4095-974c-a9c10fc39739,55.99798,-110.76024,10.90812,5.97636,0.94261,-12.56383,0.68868,-0.97373,-1.9748,2.980172,1.92447,-51.70863,0.0831,1.91302,-1.17052,0.55417,-0.15651,0.02284,-0.00135,3.1621,74.73081,-30.95274,4.43939,-0.52571,-0.19478,0.12994,-0.02836,0.0022,-0.34468,19.77066,0.89813,-2.54271,1.41341,-0.63692,0.17479,-0.02493,0.00144,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
