PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-11-05,11:01:59.21,1,1,"Weston, Travis",1000024904,Left,CAL_POL,"Steels, Jacob",1000117532,Right,CAL_MUS,Undefined,1,Top,0,0,0,Fastball,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,83.84183,-1.112724,2.230444,2263.547991,143.06601,10:45,5.86289,-1.80788,5.53456,-18.56009,22.15493,-15.57418,3.27519,-1.01978,75.81633,-4.658059,-0.543937,0.45925,,,,,,,,,,,,8.47426,11.9054,1.62452,50,5.75422,-4.06476,-121.49121,-2.8742,12.54301,25.95568,-14.55251,CAL_POL,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221105-BaggettStadium-Private-1,f18c4350-5d33-11ed-af37-b195dfa64bc4,82.07397,,,8.0255,,,,,,,e0e15967-a15c-41da-9095-5d244583db42,2022-11-05,18:01:59.21,2022-11-05T11:01:59.2104712-07:00,2022-11-05T18:01:59.2104712Z,,v3,CAL_PRA,471251,,"Villegas, Collin",1000083288,Right,CAL_POL,e32969d1-688f-4d98-aea8-b16e158330a5,54.9622,-122.54677,12.97784,5.85907,-2.28238,-7.27625,1.8002,-4.57486,6.27151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-11-05,11:02:10.35,1,2,"Weston, Travis",1000024904,Left,CAL_POL,"Steels, Jacob",1000117532,Right,CAL_MUS,Undefined,1,Top,0,1,0,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,75.65902,-0.78625,2.75389,1670.385126,114.006697,9:45,5.79181,-2.03683,5.37836,-40.14144,11.31016,-20.53166,1.70871,-1.16413,67.36912,-8.241279,-0.897399,0.516263,59.16638,5.956816,162.891182,6303.906138,,,,44.92334,44.92334,161.047203,0.576776,11.37327,6.55634,1.80538,50,5.69371,-4.46424,-109.34571,-2.73793,13.30706,25.31282,-24.50296,CAL_POL,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221105-BaggettStadium-Private-1,f847e550-5d33-11ed-af37-b195dfa64bc4,73.01018,2.73829,,8.2899,,,,3.16362,1.80215,1.07399,e0e15967-a15c-41da-9095-5d244583db42,2022-11-05,18:02:10.35,2022-11-05T11:02:10.3584520-07:00,2022-11-05T18:02:10.3584520Z,GroundBall,v3,CAL_PRA,471251,,"Villegas, Collin",1000083288,Right,CAL_POL,1dc9bc88-ddfd-44d3-af28-875df570b69a,55.11828,-110.52421,12.65641,5.79463,-1.59714,-12.25148,2.02764,-5.08378,6.65353,344.485189,3.16362,-82.4893,6.24886,-0.89693,0.19049,-0.0267,0.00758,-0.00408,0.00134,1.80215,9.00564,-21.99606,1.86695,-0.37501,0.07193,-0.0108,0.00263,-0.00044,1.07399,25.39092,-3.37391,-0.03119,0.01146,-0.01869,0.00206,-0.00018,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2022-11-05,11:02:27.19,1,3,"Weston, Travis",1000024904,Left,CAL_POL,"Steels, Jacob",1000117532,Right,CAL_MUS,Undefined,1,Top,0,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.30512,4.1327,-1.553555,2031.500068,318.122191,4:30,5.90836,-1.79507,4.71401,-72.65468,-14.07784,14.51465,3.78426,-2.0603,64.42445,-8.937303,0.994903,0.550851,,,,,,,,,,,,-7.52579,-7.46268,1.93858,50,6.26221,2.21122,-103.04598,4.89987,-7.95732,19.78094,-40.06463,CAL_POL,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221105-BaggettStadium-Private-1,024a26d0-5d34-11ed-af37-b195dfa64bc4,68.4258,,,6.88067,,,,,,,e0e15967-a15c-41da-9095-5d244583db42,2022-11-05,18:02:27.19,2022-11-05T11:02:27.1988488-07:00,2022-11-05T18:02:27.1988488Z,,v3,CAL_PRA,471251,,"Villegas, Collin",1000083288,Right,CAL_POL,fd072870-5342-4641-a48f-851de31029ac,55.78877,-104.15128,9.89047,5.92588,7.13855,-20.03232,1.8026,2.65585,-3.97866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-11-05,11:02:40.68,1,4,"Weston, Travis",1000024904,Left,CAL_POL,"Steels, Jacob",1000117532,Right,CAL_MUS,Undefined,1,Top,0,2,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,76.9169,-0.709208,2.220815,1667.220161,107.53793,9:30,5.81889,-1.97157,5.40782,-40.46069,8.33997,-20.79222,1.78214,-1.62241,69.72494,-8.157344,-1.481115,0.502787,85.12336,-12.542299,17.208269,,,,,9.06968,8.85128,25.030992,0.061955,11.17292,4.9291,1.78889,50,5.72778,-3.5122,-111.44803,-2.67385,13.83914,22.86708,-26.06872,CAL_POL,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221105-BaggettStadium-Private-1,0a58d5b0-5d34-11ed-af37-b195dfa64bc4,74.96699,1.68225,,7.19196,,,,0.99462,1.68225,1.60035,e0e15967-a15c-41da-9095-5d244583db42,2022-11-05,18:02:40.68,2022-11-05T11:02:40.6857992-07:00,2022-11-05T18:02:40.6857992Z,GroundBall,v3,CAL_PRA,471251,,"Villegas, Collin",1000083288,Right,CAL_POL,4cb56f26-109c-4a92-8ede-a972134fbfd0,55.09146,-112.48785,11.43354,5.82241,-1.48844,-13.03436,1.96291,-4.14151,6.91957,180,0.99286,116.58849,,,,,,,,1.68266,-27.15284,,,,,,,,1.59981,36.1086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2022-11-05,11:03:24.20,2,1,"Weston, Travis",1000024904,Left,CAL_POL,"Shimao, Tate",1000199114,Right,CAL_MUS,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,71.34974,3.023363,0.153069,1997.270175,317.840416,4:30,5.87663,-1.88877,5.04333,-69.06756,-12.02564,12.56701,2.97565,-0.69712,65.36632,-9.438832,2.376348,0.543586,,,,,,,,,,,,-6.15402,-6.23953,1.86372,50,6.10991,-0.75372,-103.44239,3.15499,-6.62258,18.35241,-38.88866,CAL_POL,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221105-BaggettStadium-Private-1,2446dda0-5d34-11ed-af37-b195dfa64bc4,69.34031,,,5.98342,,,,,,,e0e15967-a15c-41da-9095-5d244583db42,2022-11-05,18:03:24.20,2022-11-05T11:03:24.2064136-07:00,2022-11-05T18:03:24.2064136Z,,v3,CAL_PRA,471251,,"Villegas, Collin",1000083288,Right,CAL_POL,1e479e74-c147-4d0a-978d-3e4bf3757351,55.46068,-104.40671,9.17621,5.89045,5.19838,-19.44433,1.89419,-0.40574,-3.31129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-11-05,11:03:45.13,2,2,"Weston, Travis",1000024904,Left,CAL_POL,"Shimao, Tate",1000199114,Right,CAL_MUS,Undefined,1,Top,0,0,1,Fastball,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,84.61575,-1.273632,1.169303,2203.558924,137.489466,10:30,5.76346,-1.81702,5.47222,-20.94478,19.29273,-16.33387,2.82572,-2.08375,76.25252,-5.241074,-1.739576,0.456549,,,,,,,,,,,,8.53335,10.5278,1.72543,50,5.63769,-1.79025,-122.59424,-3.35333,12.79039,27.65428,-16.39423,CAL_POL,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221105-BaggettStadium-Private-1,30b42bb0-5d34-11ed-af37-b195dfa64bc4,82.55954,,,8.36323,,,,,,,e0e15967-a15c-41da-9095-5d244583db42,2022-11-05,18:03:45.13,2022-11-05T11:03:45.1329288-07:00,2022-11-05T18:03:45.1329288Z,,v3,CAL_PRA,471251,,"Villegas, Collin",1000083288,Right,CAL_POL,8d915a57-8aa9-4221-b162-30226a7bf5f8,55.02402,-123.72235,13.82714,5.76084,-2.68456,-8.19712,1.8091,-2.31201,6.3952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-11-05,11:04:07.80,2,3,"Weston, Travis",1000024904,Left,CAL_POL,"Shimao, Tate",1000199114,Right,CAL_MUS,Undefined,1,Top,0,1,1,Fastball,Splitter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.48829,-1.202033,3.18753,2286.125281,132.977527,10:30,5.7449,-1.90854,5.51443,-19.35922,21.0769,-20.99064,3.00571,-0.67405,75.88557,-4.902491,-0.547395,0.457674,,,,,,,,,,,,11.54024,11.42138,1.64466,50,5.62747,-5.8988,-122.26484,-3.1181,17.18072,27.81192,-15.1703,CAL_POL,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221105-BaggettStadium-Private-1,3e39eea0-5d34-11ed-af37-b195dfa64bc4,82.35654,,,8.60273,,,,,,,e0e15967-a15c-41da-9095-5d244583db42,2022-11-05,18:04:07.80,2022-11-05T11:04:07.8080000-07:00,2022-11-05T18:04:07.8080000Z,,v3,CAL_PRA,471251,,"Villegas, Collin",1000083288,Right,CAL_POL,f704a1c1-ebfa-443e-a674-e9fa581287a7,54.98262,-123.39305,13.90596,5.74148,-2.5027,-7.58515,1.89808,-6.59574,8.59036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.77702,2.072507,0.737229,1.335278,-0.68544,2.82213,0.69682,-1.68811,5.63166,1.56021,127.28289,5.16247,-2.52414,-1.55373,104.04722,-5.64119,5.6779,16.53576,-12.66358,1.50573,-5.76838,2.05148,High,High,High,,,High,High,High
8,2022-11-05,11:04:42.83,2,4,"Weston, Travis",1000024904,Left,CAL_POL,"Shimao, Tate",1000199114,Right,CAL_MUS,Undefined,1,Top,0,1,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,75.0471,0.649604,1.856934,1760.394206,106.799531,9:30,5.68528,-2.14803,5.20917,-43.29144,8.93445,-22.74891,2.68891,-2.29686,67.16075,-7.343889,-2.176121,0.520133,58.64978,-7.806171,26.668442,,,,,16.71184,12.87792,32.525698,0.171487,11.96603,4.81154,1.99412,50,5.71357,-2.6194,-108.57572,-0.15052,13.904,23.72464,-26.58327,CAL_POL,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221105-BaggettStadium-Private-1,532c7b20-5d34-11ed-af37-b195dfa64bc4,72.46693,2.62229,,7.88635,,,,1.387,2.62229,2.27131,e0e15967-a15c-41da-9095-5d244583db42,2022-11-05,18:04:42.83,2022-11-05T11:04:42.8388616-07:00,2022-11-05T18:04:42.8388616Z,GroundBall,v3,CAL_PRA,471251,,"Villegas, Collin",1000083288,Right,CAL_POL,3ddab41a-aeba-4dca-8617-b53f60f6b820,55.28785,-109.72507,11.86232,5.68967,1.13732,-13.29163,2.13734,-3.29299,6.952,301.609671,1.38694,76.16151,-12.13854,,,,,,,2.62272,-11.71657,-20.88077,,,,,,,2.27093,38.27968,5.12029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2022-11-05,11:05:35.58,3,1,"Weston, Travis",1000024904,Left,CAL_POL,"Fenn, Ryan",1000199112,Right,CAL_MUS,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.89289,-0.16286,1.814787,2362.355936,299.377166,4:00,5.85351,-1.79708,5.28399,-59.66554,-3.65477,9.9204,0.72836,0.73448,65.87848,-10.962689,3.579149,0.538651,,,,,,,,,,,,-4.4461,-1.34709,1.62381,50,5.79457,-3.65693,-104.24035,-2.17051,-4.81962,19.94328,-33.63431,CAL_POL,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221105-BaggettStadium-Private-1,729b5b20-5d34-11ed-af37-b195dfa64bc4,69.97565,,,6.01441,,,,,,,e0e15967-a15c-41da-9095-5d244583db42,2022-11-05,18:05:35.58,2022-11-05T11:05:35.5883272-07:00,2022-11-05T18:05:35.5883272Z,,v3,CAL_PRA,471251,,"Villegas, Collin",1000083288,Right,CAL_POL,6285c778-0860-4f9f-81c6-857e9abcbbae,55.2181,-105.23394,9.97164,5.86096,-0.49482,-16.81716,1.80002,-3.41681,-2.40981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-11-05,11:05:52.23,3,2,"Weston, Travis",1000024904,Left,CAL_POL,"Fenn, Ryan",1000199112,Right,CAL_MUS,Undefined,1,Top,1,1,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,1,,75.16928,-0.564794,3.766244,1742.782247,108.792276,9:45,5.67741,-2.01092,5.54124,-41.3077,8.70186,-21.04387,1.70607,-0.23947,69.32919,-8.135724,0.017725,0.508977,99.04471,0.782782,-20.755082,5792.096238,,,,51.98984,49.19968,-20.310898,0.36159,11.72863,4.97996,1.69874,50,5.6007,-6.41574,-109.03109,-2.34523,14.18087,18.37689,-26.15285,CAL_POL,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221105-BaggettStadium-Private-1,7c7f8d50-5d34-11ed-af37-b195dfa64bc4,74.05532,1.8547,,5.84009,,,,2.17074,1.80552,0.34513,e0e15967-a15c-41da-9095-5d244583db42,2022-11-05,18:05:52.23,2022-11-05T11:05:52.2382088-07:00,2022-11-05T18:05:52.2382088Z,GroundBall,v3,CAL_PRA,471251,,"Villegas, Collin",1000083288,Right,CAL_POL,e4912a07-9080-40d6-9237-7b6091bb7720,54.96152,-109.86415,9.18845,5.68014,-1.15966,-13.07643,2.00415,-7.0586,7.09044,58.660385,2.17714,135.58967,-18.76842,,,,,,,1.81023,1.81107,-18.88881,,,,,,,0.34578,-51.4977,1.74601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
