PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-10-21,15:14:02.00,1,1,"Dueck, Owen",,Left,CAL_MUS,"Fenn, Ryan",,Right,CAL_MUS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,84.12579,-2.042616,0.655939,2216.810168,147.619252,11:00,5.8292,-0.97036,4.90304,-22.84344,18.28115,-10.72619,1.99281,-1.24382,76.78705,-6.269099,-1.235002,0.461554,79.45101,22.030075,17.084015,3979.053266,102.71434,34.79336,39.36706,260.82158,252.53867,25.14595,3.442129,5.50713,10.02174,0.91577,50,5.61094,-0.92087,-121.92264,-5.1345,8.2658,24.61339,-17.13214,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221021-BaggettStadium-Private-1,aaa01590-518d-11ed-8449-31b8815382f3,81.66426,37.62984,,7.33875,,,,1.21839,1.98958,1.23525,92f71715-be6f-4f5e-b0db-5d56821047a2,2022-10-21,22:14:02.00,2022-10-21T15:14:02.0080000-07:00,2022-10-21T22:14:02.0080000Z,LineDrive,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,d3bca2d2-a037-4c4c-b4d0-aab9dca670e4,55.59628,-123.04722,12.30669,5.82765,-4.35175,-8.56607,0.96647,-1.29853,4.1329,213.255067,1.21798,103.26776,-18.77236,4.38832,-0.97108,0.22343,-0.04929,0.00749,-0.00049,1.99014,43.68948,-13.48815,-0.20558,0.28334,-0.11285,0.02952,-0.00366,0.00012,1.23534,31.72989,1.09518,-0.72002,0.20101,-0.02962,0.00101,0.00032,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2022-10-21,15:14:39.61,2,1,"Dueck, Owen",,Left,CAL_MUS,"Brown, Kemet",,Right,CAL_MUS,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,85.58336,0.15992,1.107568,2171.649109,136.010918,10:30,5.84207,-0.99319,5.26243,-21.02029,18.62662,-16.58899,4.24066,-1.33492,76.94567,-3.815035,-1.834308,0.453185,,,,,,,,,,,,8.58752,9.648,0.90433,50,5.8419,-1.64981,-123.97993,-0.31691,13.15881,28.37642,-17.39025,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221021-BaggettStadium-Private-1,c0fdf1e0-518d-11ed-8449-31b8815382f3,83.17222,,,8.6377,,,,,,,92f71715-be6f-4f5e-b0db-5d56821047a2,2022-10-21,22:14:39.61,2022-10-21T15:14:39.6180000-07:00,2022-10-21T22:14:39.6180000Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,d8f0b429-d77a-4a19-b18c-5bfa8ec34291,55.23394,-125.17214,14.18821,5.83986,0.41373,-8.69512,0.98526,-2.20266,6.5794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-10-21,15:14:55.42,2,2,"Dueck, Owen",,Left,CAL_MUS,"Brown, Kemet",,Right,CAL_MUS,Undefined,1,Top,1,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.38125,-1.410575,1.615592,2230.700152,128.869759,10:15,5.78263,-0.86578,4.96755,-24.22958,16.45517,-18.40993,2.43022,-0.87339,76.25873,-5.940338,-1.633116,0.459079,,,,,,,,,,,,9.57256,9.06276,0.72518,50,5.62733,-2.61977,-123.42767,-3.86996,14.40901,30.11813,-18.53243,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221021-BaggettStadium-Private-1,ca6b9480-518d-11ed-8449-31b8815382f3,82.10454,,,9.12252,,,,,,,92f71715-be6f-4f5e-b0db-5d56821047a2,2022-10-21,22:14:55.42,2022-10-21T15:14:55.4280000-07:00,2022-10-21T22:14:55.4280000Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,673d622e-9dca-4353-9f21-573e13e02950,55.5271,-124.76908,15.05907,5.78131,-3.04457,-9.26621,0.85615,-3.26152,7.2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-10-21,15:15:12.10,2,3,"Dueck, Owen",,Left,CAL_MUS,"Brown, Kemet",,Right,CAL_MUS,Undefined,1,Top,1,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.89691,-1.112584,1.664157,1648.970517,120.86376,10:00,5.63964,-1.0809,4.82132,-38.88604,10.92382,-15.29146,1.34473,-0.77846,69.84214,-8.200881,-1.029408,0.50796,,,,,,,,,,,,8.03583,6.24134,0.92962,50,5.49633,-2.59877,-111.32358,-3.49764,9.963,22.22764,-24.43589,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221021-BaggettStadium-Private-1,d474b3d0-518d-11ed-8449-31b8815382f3,74.20363,,,7.05477,,,,,,,92f71715-be6f-4f5e-b0db-5d56821047a2,2022-10-21,22:15:12.10,2022-10-21T15:15:12.1020000-07:00,2022-10-21T22:15:12.1020000Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,baa8e649-6995-46eb-9699-51c1ccb80100,55.67648,-112.45127,11.11382,5.64233,-2.25791,-12.21795,1.07428,-3.10423,4.9815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-10-21,15:15:31.02,2,4,"Dueck, Owen",,Left,CAL_MUS,"Brown, Kemet",,Right,CAL_MUS,Undefined,1,Top,1,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.36663,-3.626219,3.381791,1615.046392,141.297966,10:45,5.53639,-1.16954,5.47493,-28.41482,16.32316,-11.76607,-0.23532,1.01825,73.00724,-8.889466,1.288327,0.481404,,,,,,,,,,,,7.1313,9.86193,0.88083,50,5.19793,-6.41322,-116.15914,-8.25466,9.61141,24.51154,-18.88235,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221021-BaggettStadium-Private-1,df9dc210-518d-11ed-8449-31b8815382f3,78.29692,,,7.35939,,,,,,,92f71715-be6f-4f5e-b0db-5d56821047a2,2022-10-21,22:15:31.02,2022-10-21T15:15:31.0230000-07:00,2022-10-21T22:15:31.0230000Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,1bc55e76-bf6e-4228-aabc-be7880a2b769,55.02622,-117.21496,12.25577,5.53598,-7.44132,-9.44117,1.16599,-6.82723,4.80571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-10-21,15:15:53.44,2,5,"Dueck, Owen",,Left,CAL_MUS,"Brown, Kemet",,Right,CAL_MUS,Undefined,1,Top,1,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,75.7599,0.029102,1.339104,2120.933944,257.310183,2:30,5.75312,-0.71512,4.83145,-47.80837,3.26063,6.80768,1.79665,1.12056,69.20631,-8.617545,2.538379,0.51434,,,,,,,,,,,,-2.96536,2.06248,0.57618,50,5.71503,-2.83972,-109.78942,-1.6063,-3.58762,21.03187,-29.67876,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221021-BaggettStadium-Private-1,ed0d8c00-518d-11ed-8449-31b8815382f3,73.28314,,,6.55359,,,,,,,92f71715-be6f-4f5e-b0db-5d56821047a2,2022-10-21,22:15:53.44,2022-10-21T15:15:53.4450000-07:00,2022-10-21T22:15:53.4450000Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,3d2eac65-62bb-4bf0-9f96-6bdb88fc021e,55.66842,-110.86998,10.51594,5.75839,-0.08149,-14.83938,0.71735,-2.6554,-1.79381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.90826,,,0.922388,,,,-0.10004,5.42247,-3.52669,69.68428,3.68552,-55.10407,-0.08163,78.93062,-3.56289,5.45361,10.4016,-13.33906,-3.60759,-63.30835,8.07092,High,High,High,,,High,High,High
7,2022-10-21,15:16:27.19,3,1,"Dueck, Owen",,Left,CAL_MUS,"Stafford, Ryan",1000070790,Right,CAL_MUS,Undefined,1,Top,2,0,0,Fastball,Changeup,InPlay,Undefined,LineDrive,Out,1,0,,85.43121,-1.296366,1.953329,2253.708496,116.50865,10:00,5.79421,-0.87327,4.94641,-30.09143,10.40008,-17.75269,2.0606,-0.50604,76.74969,-6.837127,-1.179304,0.457987,90.98981,20.507994,22.274593,4127.524129,98.08017,33.60511,49.80226,285.51927,279.95131,34.273331,3.34318,9.45804,6.00583,0.69923,50,5.6441,-3.40819,-123.58927,-3.90552,14.32729,29.36111,-23.07625,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221021-BaggettStadium-Private-1,011c9650-518e-11ed-8449-31b8815382f3,82.30019,38.24308,,8.68152,,,,1.10123,2.01156,0.51744,92f71715-be6f-4f5e-b0db-5d56821047a2,2022-10-21,22:16:27.19,2022-10-21T15:16:27.1950000-07:00,2022-10-21T22:16:27.1950000Z,LineDrive,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,751be302-3fbd-4c02-a028-1030a4d751f6,55.55167,-124.90121,14.68055,5.79558,-2.8744,-11.53812,0.86582,-4.04838,7.16365,231.015827,1.10152,115.65901,-24.29353,5.5483,-1.14934,0.21447,-0.03491,0.00372,-0.00014,2.01123,46.76211,-15.90783,0.53457,-0.00207,-0.00243,-0.00249,0.00165,-0.00022,0.51728,47.38092,2.45823,-1.64117,0.61313,-0.20706,0.05635,-0.00927,0.00065,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2022-10-21,15:17:14.03,4,1,"Dueck, Owen",,Left,CAL_MUS,"Yorke, Joe",1000079666,Right,CAL_MUS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.10149,-0.939343,3.766934,2316.794284,156.174409,11:15,5.79034,-0.91986,5.14426,-19.82178,20.35639,-8.36682,3.25209,1.9348,76.98182,-4.673901,2.291171,0.456212,,,,,,,,,,,,5.26689,10.7943,0.57335,50,5.68764,-7.72505,-123.06853,-2.64392,8.01286,26.25432,-15.75198,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221021-BaggettStadium-Private-1,1d049980-518e-11ed-8449-31b8815382f3,82.62046,,,8.11968,,,,,,,92f71715-be6f-4f5e-b0db-5d56821047a2,2022-10-21,22:17:14.03,2022-10-21T15:17:14.0360000-07:00,2022-10-21T22:17:14.0360000Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,65f47a78-7ad9-49ac-9917-f0b30a610188,55.35194,-124.20501,13.12716,5.78733,-1.96205,-7.87599,0.91526,-8.07191,4.00643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-10-21,15:17:29.36,4,2,"Dueck, Owen",,Left,CAL_MUS,"Yorke, Joe",1000079666,Right,CAL_MUS,Undefined,1,Top,0,1,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.92174,0.717258,1.688586,2195.812699,287.547554,3:30,5.76583,-0.77838,4.87106,-54.28227,-2.34587,12.66434,1.9214,1.87539,68.85189,-9.055422,3.920326,0.518689,,,,,,,,,,,,-5.7665,-0.88736,0.60087,50,5.7903,-3.70579,-108.64037,-0.53322,-6.8594,19.86919,-33.2296,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221021-BaggettStadium-Private-1,2640f2f0-518e-11ed-8449-31b8815382f3,72.66863,,,6.06985,,,,,,,92f71715-be6f-4f5e-b0db-5d56821047a2,2022-10-21,22:17:29.36,2022-10-21T15:17:29.3670000-07:00,2022-10-21T22:17:29.3670000Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,edd58369-a71b-4532-adf5-191a1737e683,55.63046,-109.66529,9.9346,5.77359,1.18087,-16.6148,0.7829,-3.35196,-3.4297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-10-21,15:17:48.35,4,3,"Dueck, Owen",,Left,CAL_MUS,"Yorke, Joe",1000079666,Right,CAL_MUS,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,84.26601,-4.321096,4.246576,2260.377211,149.925305,11:00,5.71037,-0.81476,5.36241,-20.52737,20.24292,-10.88894,-0.07121,2.26735,76.75939,-8.155116,2.318314,0.459561,,,,,,,,,,,,6.73469,11.868,0.44082,50,5.30645,-8.56851,-121.5864,-9.84629,10.02455,25.09747,-14.50857,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221021-BaggettStadium-Private-1,317b6650-518e-11ed-8449-31b8815382f3,82.0183,,,7.50662,,,,,,,92f71715-be6f-4f5e-b0db-5d56821047a2,2022-10-21,22:17:48.35,2022-10-21T15:17:48.3540000-07:00,2022-10-21T22:17:48.3540000Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,c7b8a628-474e-4e9b-9039-bc3d213e686f,55.1367,-122.64211,12.54874,5.7078,-9.23599,-7.25429,0.81012,-8.99019,5.01227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
