PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,11/4/2022,27:20.1,1,1,"Rodriguez, Freddie",1000115876,Right,CAL_MUS,"Steels, Jacob",1000117532,Right,CAL_MUS,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.73572,-2.272858,-4.088495,2132.890321,239.489774,2:00,5.33835,1.27245,5.89646,-21.46792,13.41166,20.41068,1.43269,-0.82898,81.0725,-6.344837,-0.433529,0.425067,,,,,,,,,,,,-11.77312,8.033,-0.9542,50,5.1428,8.45889,-131.1127,-5.89553,-20.00883,33.83423,-18.52166,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221104-BaggettStadium-Private-1,768e96f0-5c87-11ed-9e72-0d7caf916210,88.67418,,,9.66321,,,,,,,490c1165-44b0-44eb-bf8b-c86f15505ffc,11/4/2022,27:20.1,2022-11-04T14:27:20.1376652-07:00,2022-11-04T21:27:20.1376652Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,f2dfd576-c324-4963-a9c8-d4ec540a0e10,54.60027,-132.2945,16.91711,5.33743,-5.24859,-9.26083,-1.26187,9.15778,-10.00441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,11/4/2022,27:34.6,1,2,"Rodriguez, Freddie",1000115876,Right,CAL_MUS,"Steels, Jacob",1000117532,Right,CAL_MUS,Undefined,1,Top,0,0,1,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,80.53081,-0.628787,-1.923921,2361.41546,133.481421,10:30,5.19591,1.80635,5.76265,-40.42073,3.36792,-1.95028,1.24192,-0.14756,73.26758,-8.078869,-2.273365,0.476269,29.58185,-60.071064,-105.366787,,,,,3.21625,3.30258,-11.59438,0.039276,0.39197,2.33823,-1.64573,50,5.11933,3.99865,-116.80044,-2.58936,0.53458,24.60743,-28.98497,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221104-BaggettStadium-Private-1,7f305e10-5c87-11ed-9e72-0d7caf916210,79.14109,1.49525,,7.26322,,,,3.37873,1.49525,0.18363,490c1165-44b0-44eb-bf8b-c86f15505ffc,11/4/2022,27:34.6,2022-11-04T14:27:34.6172300-07:00,2022-11-04T21:27:34.6172300Z,GroundBall,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,a4602755-b0db-4ba7-b712-090b7e074ebe,54.73676,-117.79415,12.30372,5.20026,-1.41888,-14.49249,-1.80677,3.97706,0.26729,,3.37918,-5.80789,,,,,,,,1.49822,-38.06999,,,,,,,,0.18528,-21.13326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
3,11/4/2022,28:02.2,2,1,"Rodriguez, Freddie",1000115876,Right,CAL_MUS,"Fenn, Ryan",1000199112,Right,CAL_MUS,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,91.23988,-1.804541,-3.15389,2070.775089,238.119561,2:00,5.4801,1.35887,6.01911,-21.0982,12.53638,18.33686,2.04731,-0.03742,83.00631,-5.778294,0.141677,0.417412,65.75739,-60.698471,-67.966953,,,,,2.09558,1.63026,-20.252976,0.022343,-10.38146,7.31619,-1.12156,50,5.32699,6.51374,-132.3138,-4.84902,-18.29909,29.73178,-19.27802,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221104-BaggettStadium-Private-1,8f9c29f0-5c87-11ed-9e72-0d7caf916210,90.30039,1.88511,,8.23357,,,,1.56914,1.88511,0.25526,490c1165-44b0-44eb-bf8b-c86f15505ffc,11/4/2022,28:02.2,2022-11-04T14:28:02.1747084-07:00,2022-11-04T21:28:02.1747084Z,GroundBall,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,45e0bdbe-6e5f-4cf8-a17e-b34f6d4a0662,54.48159,-133.31704,14.86589,5.47964,-4.19852,-9.63901,-1.35177,7.13121,-9.14955,,1.56894,17.76288,,,,,,,,1.88607,-84.37115,,,,,,,,0.25575,-43.89177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,11/4/2022,28:46.9,3,1,"Rodriguez, Freddie",1000115876,Right,CAL_MUS,"Yorke, Joe",1000079666,Right,CAL_MUS,Undefined,1,Top,2,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.11398,-2.49184,-3.341787,2177.348701,236.816052,2:00,5.45087,1.53398,6.07207,-23.24387,11.42694,15.5832,1.20264,-0.26328,81.6127,-6.861959,-0.538517,0.423793,,,,,,,,,,,,-9.0967,7.03111,-1.28324,50,5.2452,6.97093,-130.51766,-6.42769,-15.49934,30.60825,-20.19411,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221104-BaggettStadium-Private-1,aa454480-5c87-11ed-9e72-0d7caf916210,88.94077,,,8.50128,,,,,,,490c1165-44b0-44eb-bf8b-c86f15505ffc,11/4/2022,28:46.9,2022-11-04T14:28:46.9055884-07:00,2022-11-04T21:28:46.9055884Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,97b2c10b-634b-4243-bd78-5039a0874460,54.42754,-131.55189,15.30412,5.45086,-5.74535,-10.09706,-1.52763,7.49464,-7.74967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,11/4/2022,29:00.1,3,2,"Rodriguez, Freddie",1000115876,Right,CAL_MUS,"Yorke, Joe",1000079666,Right,CAL_MUS,Undefined,1,Top,2,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.1215,-1.653524,-4.349457,2223.229526,241.722578,2:00,5.12795,1.69162,6.06968,-23.46619,10.30812,17.02068,1.63741,-0.92274,82.78621,-6.057159,-1.293827,0.418278,,,,,,,,,,,,-9.98406,6.14615,-1.36261,50,4.98703,9.29839,-131.94296,-4.58587,-17.49452,29.64884,-21.4045,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221104-BaggettStadium-Private-1,b220fc80-5c87-11ed-9e72-0d7caf916210,90.11345,,,8.33529,,,,,,,490c1165-44b0-44eb-bf8b-c86f15505ffc,11/4/2022,29:00.1,2022-11-04T14:29:00.1367436-07:00,2022-11-04T21:29:00.1367436Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,11d1098b-2ab2-4306-923c-302b30eabdf2,54.42929,-132.93453,14.82442,5.12843,-3.87002,-10.70225,-1.68338,9.88347,-8.74726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,11/4/2022,29:14.4,3,3,"Rodriguez, Freddie",1000115876,Right,CAL_MUS,"Yorke, Joe",1000079666,Right,CAL_MUS,Undefined,1,Top,2,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.06243,2.071307,-0.385494,2429.947025,107.375829,9:30,5.09221,1.74369,5.89523,-39.49038,2.11047,-2.50457,3.72533,1.17706,74.81628,-5.240477,-0.834948,0.464219,,,,,,,,,,,,1.16197,0.92673,-1.71126,50,5.23665,0.90113,-119.12503,3.01243,1.6646,23.53751,-30.84645,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221104-BaggettStadium-Private-1,baaaced0-5c87-11ed-9e72-0d7caf916210,81.19544,,,7.24615,,,,,,,490c1165-44b0-44eb-bf8b-c86f15505ffc,11/4/2022,29:14.4,2022-11-04T14:29:14.4126860-07:00,2022-11-04T21:29:14.4126860Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,e4e949ef-16b1-433b-8944-a27239ba390c,54.60365,-120.0312,11.76876,5.09782,4.19999,-15.42323,-1.74472,0.83704,0.8323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,11/4/2022,29:29.4,3,4,"Rodriguez, Freddie",1000115876,Right,CAL_MUS,"Yorke, Joe",1000079666,Right,CAL_MUS,Undefined,1,Top,2,2,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.91982,0.293097,-3.422221,2431.07066,144.039486,10:45,5.03396,1.63109,6.04689,-37.11297,4.56469,-2.33008,2.21305,-1.73515,74.81662,-6.586645,-3.840448,0.464647,,,,,,,,,,,,0.18984,2.69799,-1.36311,50,5.03711,7.19333,-118.78748,-0.55785,0.26982,23.87022,-28.33933,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221104-BaggettStadium-Private-1,c3914010-5c87-11ed-9e72-0d7caf916210,81.12062,,,7.10321,,,,,,,490c1165-44b0-44eb-bf8b-c86f15505ffc,11/4/2022,29:29.4,2022-11-04T14:29:29.3679500-07:00,2022-11-04T21:29:29.3679500Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,62e1b4dc-ebcc-4b9c-8df7-0ac6476488d5,54.45178,-119.67871,11.93511,5.03818,0.50025,-14.16966,-1.6315,7.18325,0.13491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,11/4/2022,29:49.3,3,5,"Rodriguez, Freddie",1000115876,Right,CAL_MUS,"Yorke, Joe",1000079666,Right,CAL_MUS,Undefined,1,Top,2,3,1,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221104-BaggettStadium-Private-1,d16ee700-5c87-11ed-9e72-0d7caf916210,,,,,,,,,,,490c1165-44b0-44eb-bf8b-c86f15505ffc,,,,,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11/4/2022,30:08.2,3,6,"Rodriguez, Freddie",1000115876,Right,CAL_MUS,"Yorke, Joe",1000079666,Right,CAL_MUS,Undefined,1,Top,2,3,2,Slider,Slider,InPlay,Undefined,GroundBall,Single,0,0,,83.36348,0.235429,-0.749754,2229.699903,131.829431,10:30,5.2512,1.69843,6.06431,-36.45931,3.44662,-2.46197,2.43083,0.79933,76.42941,-6.523264,-1.193402,0.454664,98.70902,-1.96969,-22.836479,2863.329122,,,,36.13789,36.13789,-22.323541,0.243658,1.06524,2.05898,-1.63895,50,5.24988,1.67899,-121.17429,-0.66261,1.58161,23.98436,-29.11698,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221104-BaggettStadium-Private-1,dab811b0-5c87-11ed-9e72-0d7caf916210,82.90183,2.53476,,6.93408,,,,2.20305,2.53476,-0.73502,490c1165-44b0-44eb-bf8b-c86f15505ffc,11/4/2022,30:08.2,2022-11-04T14:30:08.1692044-07:00,2022-11-04T21:30:08.1692044Z,GroundBall,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,039ddd66-8895-4473-9f87-f48752dea2f7,54.43678,-122.04931,11.99218,5.25467,0.39968,-14.55849,-1.69915,1.62129,0.7908,340.230169,2.20546,133.21498,-20.83902,,,,,,,2.53731,-5.11529,-21.78867,,,,,,,-0.73659,-56.06764,11.33521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
10,11/4/2022,30:43.4,4,1,"Rodriguez, Freddie",1000115876,Right,CAL_MUS,"Villegas, Collin",1000083288,Right,CAL_MUS,Undefined,1,Top,2,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.60405,-3.732821,-2.694921,2177.133466,227.063677,1:30,5.57845,1.40381,5.99072,-17.69111,16.54414,16.52273,0.63595,0.28126,82.53417,-7.082031,0.274525,0.421122,,,,,,,,,,,,-9.41158,9.99213,-1.20078,50,5.2738,5.50255,-131.24149,-9.10442,-16.30831,29.46338,-14.85973,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221104-BaggettStadium-Private-1,efb1ca20-5c87-11ed-9e72-0d7caf916210,89.50479,,,8.06988,,,,,,,490c1165-44b0-44eb-bf8b-c86f15505ffc,11/4/2022,30:43.4,2022-11-04T14:30:43.3713548-07:00,2022-11-04T21:30:43.3713548Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,8a9f57ac-1dd5-44d7-8984-94a973edcbc5,54.51123,-132.25037,14.73169,5.57684,-8.5956,-7.42987,-1.39876,6.06098,-8.15415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
