PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-10-15,11:32:13.50,1,1,"True, Derek",1000048879,Right,CAL_MUS,"Fenn, Ryan",,Right,CAL_MUS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.66986,-3.058988,-3.786968,2256.385445,213.53584,1:00,6.33846,0.97405,5.86754,-12.36705,20.39222,12.79953,2.45736,-1.48229,84.52623,-5.44864,-1.497913,0.411944,,,,,,,,,,,,-7.56729,11.58134,-0.67421,50,6.08269,8.30926,-134.1606,-7.5087,-13.78966,29.072,-11.06974,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221015-BaggettStadium-Private-1,b03801a0-4cb7-11ed-9f11-5b202b05025b,91.49888,,,8.14362,,,,,,,fd140634-38d8-457f-aeda-1591176c874d,2022-10-15,18:32:13.50,2022-10-15T11:32:13.5037460-07:00,2022-10-15T18:32:13.5037460Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,ece4de64-557b-4810-bd43-14585fe7f3f7,54.63177,-135.16056,14.536,6.33441,-7.12795,-5.53487,-0.96817,8.78356,-6.89483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-10-15,11:32:27.41,1,2,"True, Derek",1000048879,Right,CAL_MUS,"Fenn, Ryan",,Right,CAL_MUS,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.8659,-3.778965,-3.058638,2216.573029,216.526243,1:15,6.31857,1.01014,5.80797,-13.40698,19.93537,13.96394,1.67688,-0.67334,84.06593,-6.343391,-0.56047,0.415594,,,,,,,,,,,,-7.93205,11.51627,-0.76728,50,5.9997,6.48925,-133.02005,-9.17099,-14.23964,28.01649,-11.50008,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221015-BaggettStadium-Private-1,b875afc0-4cb7-11ed-9f11-5b202b05025b,90.69533,,,7.79997,,,,,,,fd140634-38d8-457f-aeda-1591176c874d,2022-10-15,18:32:27.41,2022-10-15T11:32:27.4184212-07:00,2022-10-15T18:32:27.4184212Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,f4b0624e-aa6e-4cfc-bbdc-36cd962ddda2,54.69186,-134.0046,14.00825,6.31488,-8.76686,-5.75004,-1.00411,6.98965,-7.11982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-10-15,11:32:42.90,1,3,"True, Derek",1000048879,Right,CAL_MUS,"Fenn, Ryan",,Right,CAL_MUS,Undefined,1,Top,0,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.51347,-0.42529,-1.51157,2427.738219,105.027113,9:30,6.06125,1.43582,5.49467,-36.19352,5.57709,-15.84607,2.64715,-1.29899,75.64721,-7.059014,-4.333904,0.465165,,,,,,,,,,,,7.54213,3.35284,-1.29266,50,5.99974,3.81331,-119.75941,-2.13301,10.91464,23.89478,-27.32199,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221015-BaggettStadium-Private-1,c1b76060-4cb7-11ed-9f11-5b202b05025b,81.03029,,,6.86626,,,,,,,fd140634-38d8-457f-aeda-1591176c874d,2022-10-15,18:32:42.90,2022-10-15T11:32:42.9010452-07:00,2022-10-15T18:32:42.9010452Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,f0e88a9a-1908-4d9c-b889-3380ca495e6f,55.00524,-120.75394,11.94739,6.06486,-0.99583,-13.661,-1.44192,3.35903,5.45732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-10-15,11:32:58.49,1,4,"True, Derek",1000048879,Right,CAL_MUS,"Fenn, Ryan",,Right,CAL_MUS,Undefined,1,Top,1,1,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,83.13993,-1.039475,-2.089488,2418.651183,99.83292,9:15,6.08205,1.37073,5.26635,-37.56077,4.21799,-16.30395,1.97472,-1.95172,75.94615,-7.880506,-4.980028,0.46521,,,,,,,,,,,,7.51473,2.85134,-1.16708,50,5.95945,5.08996,-120.50164,-3.53617,10.94395,25.50247,-28.02157,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221015-BaggettStadium-Private-1,cb07b700-4cb7-11ed-9f11-5b202b05025b,81.02239,,,7.19378,,,,,,,fd140634-38d8-457f-aeda-1591176c874d,2022-10-15,18:32:58.49,2022-10-15T11:32:58.4980000-07:00,2022-10-15T18:32:58.4980000Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,e82ce248-d491-4804-9dc4-99c22a118c0a,55.23323,-121.60414,12.75124,6.08614,-2.32477,-14.01079,-1.3769,4.61684,5.47197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.26131,2.30025,1.405133,0.895117,0.15833,1.79791,2.06212,-1.9996,5.59679,-1.46047,69.55838,6.68439,-55.24002,-1.94326,83.843,-4.39617,5.60594,11.15089,-11.10506,-1.65493,-68.28736,9.30423,High,High,High,,,High,High,High
5,2022-10-15,11:33:30.49,2,1,"True, Derek",1000048879,Right,CAL_MUS,"Brown, Kemet",,Left,CAL_MUS,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,92.37918,-3.101923,-2.261417,2295.573781,216.141632,1:15,6.27,1.4714,5.62876,-13.08213,20.02848,13.85115,2.28034,0.51444,84.5182,-5.602358,0.210464,0.414148,70.83459,20.16006,-169.169544,2437.832964,-108.67012,12.98543,-17.05235,149.96984,59.35259,-172.482804,1.785004,-7.68693,11.35272,-1.28802,50,5.99732,4.67426,-133.93221,-7.64898,-13.98199,28.54703,-11.52423,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221015-BaggettStadium-Private-1,de168f60-4cb7-11ed-9f11-5b202b05025b,91.01209,16.60738,,7.86098,,,,2.54073,2.40811,-0.5057,fd140634-38d8-457f-aeda-1591176c874d,2022-10-15,18:33:30.49,2022-10-15T11:33:30.4989204-07:00,2022-10-15T18:33:30.4989204Z,LineDrive,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,26eac6fb-aedd-44df-92bb-667db1a90544,54.87252,-134.96677,14.27352,6.26696,-7.23134,-5.76212,-1.46659,5.18098,-6.991,23.250204,2.54075,-95.79111,6.27335,-0.29521,0.67239,-0.97297,0.78795,-0.31667,0.049,2.40811,35.80483,-24.44312,2.67107,-0.53268,0.16458,-0.08285,0.03913,-0.0076,-0.50569,-18.32762,3.81673,0.15498,0.44482,-0.74413,0.61211,-0.24546,0.03778,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2022-10-15,11:33:49.11,2,2,"True, Derek",1000048879,Right,CAL_MUS,"Brown, Kemet",,Left,CAL_MUS,Undefined,1,Top,1,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.86377,-2.180578,-0.887603,2524.580012,134.65468,10:30,6.11051,1.6148,5.12965,-32.69376,9.48103,-8.1604,1.3311,0.09874,75.73839,-8.148249,-2.333393,0.46741,,,,,,,,,,,,3.82638,5.7752,-1.52477,50,5.88064,2.20571,-120.08861,-5.73073,5.54976,24.72922,-23.79774,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221015-BaggettStadium-Private-1,e9378750-4cb7-11ed-9f11-5b202b05025b,80.64108,,,7.12539,,,,,,,fd140634-38d8-457f-aeda-1591176c874d,2022-10-15,18:33:49.11,2022-10-15T11:33:49.1186196-07:00,2022-10-15T18:33:49.1186196Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,65e54d18-8cbb-45bb-9a7c-3d59ffd08ca9,55.37001,-121.18939,12.36461,6.11216,-4.67142,-11.89887,-1.61745,1.95868,2.77488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-10-15,11:34:06.50,2,3,"True, Derek",1000048879,Right,CAL_MUS,"Brown, Kemet",,Left,CAL_MUS,Undefined,1,Top,1,0,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,91.69615,-1.872978,-1.233782,2197.259235,202.170514,12:45,6.35882,1.37916,5.60998,-15.46776,18.34564,7.00697,3.32053,0.81125,83.24087,-4.820604,0.017068,0.41852,69.86628,48.76118,-158.763146,3983.376537,,,,,57.73936,,,-3.93587,10.20804,-1.2784,50,6.189,2.5517,-132.9949,-4.82603,-6.99916,30.42054,-14.02112,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221015-BaggettStadium-Private-1,f38836f0-4cb7-11ed-9f11-5b202b05025b,90.06133,49.93423,,8.45528,,,,2.0073,3.0739,-0.69996,fd140634-38d8-457f-aeda-1591176c874d,2022-10-15,18:34:06.50,2022-10-15T11:34:06.5063956-07:00,2022-10-15T18:34:06.5063956Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,c6a01f41-0477-4f9f-80c5-d93be81555d1,54.88947,-134.10863,15.21027,6.35629,-4.3127,-7.01056,-1.37651,2.80795,-3.49958,5.550593,2.0073,-62.96123,1.02439,1.62337,-0.6115,0.20317,-0.06542,0.02178,-0.00407,3.0739,77.05447,-31.91472,4.87708,-1.02863,0.14708,0.03773,-0.04236,0.01206,-0.69996,-24.46765,1.81418,0.81851,-0.35225,0.12924,-0.04734,0.0179,-0.00363,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2022-10-15,11:34:26.20,2,4,"True, Derek",1000048879,Right,CAL_MUS,"Brown, Kemet",,Left,CAL_MUS,Undefined,1,Top,1,0,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Error,0,0,,91.88428,-2.780391,-1.7772,2204.483266,217.143482,1:15,6.31852,1.42152,5.57826,-15.43599,18.26505,12.97418,2.43207,0.8423,83.62418,-5.710078,0.537306,0.417824,74.45596,4.361441,12.83295,1643.90589,,,,68.5741,67.37399,13.278442,0.654966,-7.11811,10.40851,-1.27743,50,6.06927,3.5517,-133.18718,-6.95317,-12.72242,29.93089,-13.57066,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221015-BaggettStadium-Private-1,ff47dfe0-4cb7-11ed-9f11-5b202b05025b,90.21133,3.43089,,8.26011,,,,2.34476,2.54129,-0.77452,fd140634-38d8-457f-aeda-1591176c874d,2022-10-15,18:34:26.20,2022-10-15T11:34:26.2072852-07:00,2022-10-15T18:34:26.2072852Z,GroundBall,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,fb8a4c14-c8b1-4a68-b076-efb7375d8867,54.92194,-134.28872,14.96544,6.31597,-6.45373,-6.78533,-1.41676,4.01992,-6.36121,298.086602,2.36144,105.82157,-11.52893,,,,,,,2.56169,7.88575,-18.05638,,,,,,,-0.78249,24.34937,1.38047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2022-10-15,11:35:09.88,3,1,"True, Derek",1000048879,Right,CAL_MUS,"Stafford, Ryan",1000070790,Right,CAL_MUS,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,2,0,,90.41763,-2.481087,-1.892008,2013.14671,214.582573,1:15,6.41497,1.28294,5.39481,-16.87847,17.87434,11.57532,2.68048,0.47375,82.94468,-5.647054,0.165697,0.424294,69.3259,-3.686182,-33.521942,,,,,26.07988,14.42628,-32.66977,0.247863,-6.36571,9.99875,-1.12262,50,6.18181,3.81708,-131.16073,-6.24458,-11.13073,26.76536,-14.69083,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221015-BaggettStadium-Private-1,19515f10-4cb8-11ed-9f11-5b202b05025b,88.83574,2.60518,,7.47295,,,,1.92977,2.60518,-0.34412,fd140634-38d8-457f-aeda-1591176c874d,2022-10-15,18:35:09.88,2022-10-15T11:35:09.8891284-07:00,2022-10-15T18:35:09.8891284Z,GroundBall,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,daa6e789-54e2-4342-af26-6d7e7bcb4cf9,55.10635,-132.19865,13.38268,6.41293,-5.67489,-7.34541,-1.27901,4.24872,-5.56537,78.833422,1.93157,84.49389,-15.01175,,,,,,,2.60629,-6.59598,-15.82896,,,,,,,-0.34396,-56.04491,2.56221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2022-10-15,11:35:45.51,4,1,"True, Derek",1000048879,Right,CAL_MUS,"King, Wyatt",,Right,CAL_MUS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.46585,-3.012219,-2.115067,1806.850079,215.987282,1:15,6.31179,1.11104,5.63393,-18.04186,14.84328,10.05445,1.99337,-0.02535,85.11231,-6.378468,-0.319593,0.412735,,,,,,,,,,,,-5.6491,8.62016,-0.93761,50,6.04366,4.50225,-134.1214,-7.6716,-10.35866,27.19448,-16.36736,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221015-BaggettStadium-Private-1,2e8c1820-4cb8-11ed-9f11-5b202b05025b,91.32365,,,7.35355,,,,,,,fd140634-38d8-457f-aeda-1591176c874d,2022-10-15,18:35:45.51,2022-10-15T11:35:45.5183380-07:00,2022-10-15T18:35:45.5183380Z,,v3,471251,471251,,"Villegas, Collin",1000083288,Right,CAL_MUS,725c49a3-fee7-4aab-ae5a-b9dbecedf58b,54.86656,-135.10454,13.59724,6.31032,-7.07989,-8.18368,-1.10714,4.87674,-5.17933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
