PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-11-19,10:48:04.34,1,1,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"King, Wyatt",1000133912,Right,CAL_MUS,Undefined,1,Top,0,0,0,Sinker,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,91.37785,-1.701815,-4.471233,2204.606873,241.615555,2:00,6.13242,2.5345,5.73986,-22.53147,11.45138,19.05615,2.66483,-0.04939,83.05064,-5.913014,-1.071967,0.419567,89.6593,41.259762,1.132651,4694.333073,109.39017,92.81022,11.56551,295.78545,295.78545,15.457965,5.730853,-11.09249,6.66555,-2.17391,50,5.97661,9.51772,-132.27848,-4.71164,-19.54615,29.65947,-20.42862,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221119-BaggettStadium-Private-1,b371b980-683a-11ed-a349-0f6eb4986c1e,89.83653,116.40033,,8.32721,,,,2.17817,2.77811,0.02518,cc07c574-c8f6-4026-89ed-5124cd2970f7,2022-11-19,18:48:04.34,2022-11-19T10:48:04.3432410-08:00,2022-11-19T18:48:04.3432410Z,FlyBall,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,0795a4e7-66ab-49a4-9159-d6d598226e72,54.76171,-133.34187,14.82974,6.13241,-3.9792,-10.21431,-2.52772,10.21852,-9.77307,197.301275,2.1838,98.72469,-24.33738,5.93222,-0.89931,0.05326,0.00593,-0.00111,5E-05,2.77698,86.73646,-18.10235,0.55336,0.10184,-0.07117,0.01968,-0.00258,0.00012,0.02372,1.98141,5.56074,-1.28319,0.1789,-0.00683,-0.0019,0.00027,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2022-11-19,10:48:35.84,2,1,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Fenn, Ryan",1000199112,Right,CAL_MUS,Undefined,1,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.09907,-1.825679,-3.079396,2229.35459,232.431758,1:45,6.01726,2.60693,5.56116,-22.19852,12.81516,15.16123,2.45865,0.99058,82.18328,-5.961994,-0.378062,0.425883,,,,,,,,,,,,-8.57544,7.34587,-2.35121,50,5.84491,6.35756,-130.59349,-4.93279,-14.7714,28.16209,-19.52061,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221119-BaggettStadium-Private-1,c63fb850-683a-11ed-a349-0f6eb4986c1e,88.50423,,,7.91579,,,,,,,cc07c574-c8f6-4026-89ed-5124cd2970f7,2022-11-19,18:48:35.84,2022-11-19T10:48:35.8410714-08:00,2022-11-19T18:48:35.8410714Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,bfea2864-acb0-436a-b844-e701dc3b0753,54.93939,-131.65435,14.08104,6.01688,-4.19746,-9.76031,-2.60118,6.91399,-7.3857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-11-19,10:48:49.29,2,2,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Fenn, Ryan",1000199112,Right,CAL_MUS,Undefined,1,Top,1,1,0,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,82.18685,-1.745636,-3.541814,1952.422513,219.88894,1:15,6.17939,2.56131,5.64364,-24.93572,17.70804,13.4441,2.4694,0.37349,73.90145,-6.449503,-1.145034,0.470001,66.10646,11.267499,174.964202,2700.519608,,,,99.27197,52.54468,178.980202,1.196985,-8.05571,10.03209,-2.26926,50,6.01547,6.82227,-118.88409,-4.37127,-11.30856,26.85506,-18.09104,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221119-BaggettStadium-Private-1,ce45dbb0-683a-11ed-a349-0f6eb4986c1e,80.19644,7.53253,,8.2854,,,,3.87786,2.6575,-0.45865,cc07c574-c8f6-4026-89ed-5124cd2970f7,2022-11-19,18:48:49.29,2022-11-19T10:48:49.2967898-08:00,2022-11-19T18:48:49.2967898Z,GroundBall,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,fc67ff93-a1a6-42f2-bb36-55da295eb915,54.85502,-119.97579,13.42753,6.17822,-3.63584,-9.04552,-2.55594,7.28199,-5.65428,281.420069,3.87786,-94.7202,8.51142,-1.38834,0.24174,-0.03192,0.0052,-0.00071,-1E-05,2.6575,18.94422,-19.05109,1.38203,-0.24375,0.04306,-0.00579,0.00132,-0.00018,-0.45865,8.34658,-6.98747,1.70462,-0.40579,0.07875,-0.0155,0.00241,-0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2022-11-19,10:49:08.23,2,3,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Fenn, Ryan",1000199112,Right,CAL_MUS,Undefined,1,Top,1,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.07166,0.843251,0.141883,2320.207021,96.891462,9:15,5.90889,2.70862,4.89187,-44.90561,4.45024,-22.74359,2.9645,0.94753,70.05004,-7.322583,-3.867594,0.505639,,,,,,,,,,,,11.48111,2.30323,-2.70169,50,5.95376,0.62475,-111.73721,0.09327,14.32338,22.61466,-29.30062,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221119-BaggettStadium-Private-1,d9933ad0-683a-11ed-a349-0f6eb4986c1e,74.54413,,,7.02161,,,,,,,cc07c574-c8f6-4026-89ed-5124cd2970f7,2022-11-19,18:49:08.23,2022-11-19T10:49:08.2338778-08:00,2022-11-19T18:49:08.2338778Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,eedbf153-db38-4010-a8c5-b240cb4b7fed,55.61072,-112.86706,11.30733,5.91253,1.55716,-14.65031,-2.71503,-0.09086,7.16169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-11-19,10:49:37.21,2,4,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Fenn, Ryan",1000199112,Right,CAL_MUS,Undefined,1,Top,1,2,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.95724,1.311608,0.14903,2319.673148,93.306426,9:00,5.89797,2.50368,4.959,-46.67436,3.24394,-23.63572,3.24785,0.67484,69.19989,-7.213329,-4.021763,0.508512,,,,,,,,,,,,11.61816,1.74697,-2.49799,50,5.9874,0.7058,-111.38357,0.91916,14.26627,24.21302,-30.02889,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221119-BaggettStadium-Private-1,eadf2d80-683a-11ed-a349-0f6eb4986c1e,74.12301,,,7.75735,,,,,,,cc07c574-c8f6-4026-89ed-5124cd2970f7,2022-11-19,18:49:37.21,2022-11-19T10:49:37.2121050-08:00,2022-11-19T18:49:37.2121050Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,316bc5a8-34f1-4389-aae0-1bbd5b1302b1,55.53855,-112.58112,12.10651,5.90521,2.40436,-15.01445,-2.51545,0.00021,7.13313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-11-19,10:49:53.01,2,5,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Fenn, Ryan",1000199112,Right,CAL_MUS,Undefined,1,Top,1,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,78.17037,0.097204,-0.685287,2347.173544,92.180192,9:00,5.97559,2.5604,5.17321,-44.92601,2.46634,-22.99458,2.32324,-0.00073,71.37273,-8.076263,-4.760595,0.495479,,,,,,,,,,,,11.26634,1.66567,-2.47828,50,5.95057,2.28403,-113.39055,-1.35555,14.507,22.86022,-30.02927,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221119-BaggettStadium-Private-1,f4407410-683a-11ed-a349-0f6eb4986c1e,76.07269,,,6.79764,,,,,,,cc07c574-c8f6-4026-89ed-5124cd2970f7,2022-11-19,18:49:53.01,2022-11-19T10:49:53.0110000-08:00,2022-11-19T18:49:53.0110000Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,9ccddb3c-dc04-4747-aeb8-6e7e61f15fda,55.3279,-114.45964,11.43011,5.98113,0.04882,-15.01464,-2.56924,1.60558,7.2535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.60109,2.762256,1.833472,0.928784,0.24053,2.15371,0.09961,2.44118,5.44864,3.23538,72.55509,7.72488,-52.2463,2.5688,80.39473,-5.37236,5.45217,12.46137,-10.7797,2.98701,-67.26562,8.2863,High,High,High,,,High,High,High
7,2022-11-19,10:50:24.61,3,1,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Villegas, Collin",1000083288,Right,CAL_MUS,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.64133,-3.030401,-4.665283,2163.402337,203.397609,12:45,6.03853,2.64598,5.45588,-15.74465,19.28304,7.82189,1.87758,-1.07911,82.37939,-6.012906,-3.28035,0.425968,,,,,,,,,,,,-5.27784,10.92993,-2.23917,50,5.75972,10.32354,-130.90872,-7.43588,-9.11759,28.79195,-13.29225,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221119-BaggettStadium-Private-1,07192140-683b-11ed-a349-0f6eb4986c1e,88.48648,,,8.26194,,,,,,,cc07c574-c8f6-4026-89ed-5124cd2970f7,2022-11-19,18:50:24.61,2022-11-19T10:50:24.6185434-08:00,2022-11-19T18:50:24.6185434Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,c1633928-4335-402d-9172-7e795a57611f,55.04196,-132.01299,14.39598,6.03514,-6.92608,-6.64613,-2.64182,10.67323,-4.5588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-11-19,10:50:38.00,3,2,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Villegas, Collin",1000083288,Right,CAL_MUS,Undefined,1,Top,2,1,0,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,81.0724,-3.065197,-3.832103,1892.861291,236.674707,2:00,6.13512,2.48394,5.64134,-29.08635,14.46135,19.62694,0.84266,0.53929,73.7464,-8.464884,-0.330071,0.474957,,,,,,,,,,,,-11.26182,8.72788,-2.17129,50,5.8556,7.09813,-117.26432,-7.19078,-15.51909,24.31494,-20.1468,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221119-BaggettStadium-Private-1,0f0f3f10-683b-11ed-a349-0f6eb4986c1e,79.35974,,,7.32599,,,,,,,cc07c574-c8f6-4026-89ed-5124cd2970f7,2022-11-19,18:50:38.00,2022-11-19T10:50:38.0072410-08:00,2022-11-19T18:50:38.0072410Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,c022d08d-0963-4934-af0c-e74f9e0cf480,54.85992,-118.26774,12.15747,6.13519,-6.35937,-10.0734,-2.47743,7.73857,-7.75954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-11-19,10:50:58.39,3,3,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Villegas, Collin",1000083288,Right,CAL_MUS,Undefined,1,Top,2,1,1,Sinker,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,90.7515,-2.34457,-4.129648,2146.550941,245.560723,2:15,6.09027,2.5667,5.39637,-25.62757,9.63048,18.31729,1.75047,0.21631,81.83535,-7.093508,-0.879312,0.427367,43.98096,-43.458002,-150.688809,,,,,3.91038,5.27811,-22.066706,0.050667,-10.68276,5.9541,-2.21151,50,5.8627,8.6547,-131.17265,-6.31666,-18.31201,31.92869,-21.96777,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221119-BaggettStadium-Private-1,1b2b5fe0-683b-11ed-a349-0f6eb4986c1e,88.19695,2.26715,,8.91615,,,,,,,cc07c574-c8f6-4026-89ed-5124cd2970f7,2022-11-19,18:50:58.39,2022-11-19T10:50:58.3996890-08:00,2022-11-19T18:50:58.3996890Z,GroundBall,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,b9da4414-bfd0-4350-99cf-464bb8350efd,55.10469,-132.40934,15.96435,6.09089,-5.46578,-10.98388,-2.56047,9.36398,-9.15601,,5.71304,-41.17579,,,,,,,,2.27023,-44.74567,,,,,,,,-0.29619,-23.11735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2022-11-19,10:51:22.67,3,4,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Villegas, Collin",1000083288,Right,CAL_MUS,Undefined,1,Top,2,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.49961,-2.057234,-2.968991,2497.585279,68.223939,8:15,5.87714,2.5869,4.89211,-50.00554,-5.06067,-16.91036,-0.23949,-1.63334,73.8462,-11.011863,-5.949752,0.482516,,,,,,,,,,,,7.43374,-1.4563,-2.28028,50,5.63279,6.81523,-117.75958,-6.09953,10.14259,28.26788,-34.16103,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221119-BaggettStadium-Private-1,29af31e0-683b-11ed-a349-0f6eb4986c1e,78.11652,,,7.65342,,,,,,,cc07c574-c8f6-4026-89ed-5124cd2970f7,2022-11-19,18:51:22.67,2022-11-19T10:51:22.6775002-08:00,2022-11-19T18:51:22.6775002Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,07a568db-e2bd-4124-becb-6b98ea551870,55.60944,-119.0985,14.13394,5.88338,-4.48148,-17.08052,-2.59171,6.33482,5.07129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
